age,qx,px,lx,dx
40,0.0017486975265935064,0.9982513024734065,100000.0,174.86975265935064
41,0.0019184210609986387,0.9980815789390014,99825.13024734065,191.50663228343055
42,0.0021046174717548258,0.9978953825282452,99633.62361505722,209.69066503449363
43,0.0023088855686925853,0.9976911144313074,99423.93295002273,229.5584839709667
44,0.0025329793375097024,0.9974670206624903,99194.37446605177,251.25730091970914
45,0.0027788230006929988,0.997221176999307,98943.11716513206,274.9454097387312
46,0.003048527540209697,0.9969514724597903,98668.17175539333,300.7926389384571
47,0.0033444088238435182,0.9966555911761564,98367.37911645487,328.9807306954323
48,0.003669007490820635,0.9963309925091793,98038.39838575944,359.70361806540905
49,0.004025110767477089,0.9959748892325229,97678.69476769403,393.16756606255325
50,0.0044157764002919105,0.9955842235997081,97285.52720163148,429.591135106921
51,0.004844358911791358,0.9951556410882086,96855.93606652456,469.20491704376224
52,0.0053145384047754264,0.9946854615952245,96386.7311494808,512.2509844046796
53,0.005830352162199454,0.9941696478378006,95874.48016507612,558.9819827302002
54,0.00639622931404901,0.993603770685951,95315.49818234592,609.6597835571062
55,0.007017028868881607,0.9929829711311184,94705.83839878882,664.5536020959374
56,0.007698081436600071,0.9923019185633999,94041.28479669288,723.9374687674419
57,0.008445235000717862,0.9915547649992822,93317.34732792544,788.0869278279414
58,0.00926490513314835,0.9907350948668516,92529.2604000975,857.2748196472837
59,0.010164130082696598,0.9898358699173034,91671.98558045021,931.7659863787828
60,0.01115063121028114,0.9888493687897189,90740.21959407143,1011.8107246334172
61,0.012232879289823957,0.987767120710176,89728.40886943802,1097.6367945678046
62,0.01342016724411343,0.9865798327558866,88630.77207487021,1189.4397842196565
63,0.014722689940200245,0.9852773100597998,87441.33229065055,1287.3716232732677
64,0.016151631729504054,0.9838483682704959,86153.96066737728,1391.5270447376552
65,0.01771926248431025,0.9822807375156898,84762.43362263963,1501.927810168476
66,0.019439042955291887,0.9805609570447081,83260.50581247115,1618.5045489679565
67,0.021325740354728572,0.9786742596452714,81642.00126350319,1741.076120985891
68,0.023395555157898963,0.9766044448421011,79900.9251425173,1869.3265013389196
69,0.025666260211450437,0.9743337397885495,78031.59864117838,2002.7793154399467
70,0.028157353343225534,0.9718426466567744,76028.81932573844,2140.7703300230714
71,0.030890224783957723,0.9691097752160422,73888.04899571536,2282.4184423257293
72,0.033888340838433645,0.9661116591615664,71605.63055338964,2426.596014144226
73,0.037177445383248235,0.9628225546167518,69179.03453924542,2571.89977824864
74,0.04078578092135038,0.9592142190786497,66607.13476099678,2716.624006160876
75,0.04474433109150461,0.9552556689084954,63890.5107548359,2858.7381668197136
76,0.04908708671502126,0.9509129132849787,61031.77258801619,2995.871913399408
77,0.05385133766421429,0.9461486623357858,58035.90067461678,3125.3108838755898
78,0.05907799305876915,0.9409220069412308,54910.58979074119,3244.0074425103285
79,0.06481193253944582,0.9351880674605542,51666.58234823086,3348.611049697261
80,0.07110239163539375,0.9288976083646062,48317.9712985336,3435.523318296051
81,0.0780033845341057,0.9219966154658943,44882.44798023755,3500.9828486344654
82,0.08557416788420336,0.9144258321157966,41381.46513160309,3541.1844444661097
83,0.09387974961358228,0.9061202503864177,37840.280687136976,3552.4360762160927
84,0.10299144713197758,0.8970085528680224,34287.84461092088,3531.3547355151204
85,0.11298749971105913,0.8870125002889409,30756.48987540576,3475.0988909106018
86,0.1239537403003715,0.8760462596996285,27281.39098449516,3381.6304531250094
87,0.13598433254778955,0.8640156674522105,23899.76053137015,3249.992983910374
88,0.14918257935305235,0.8508174206469477,20649.767547459775,3080.585585771003
89,0.16366180989716914,0.8363381901028308,17569.181961688773,2875.404118262681
90,0.17954635276433897,0.820453647235661,14693.777843426093,2638.2142201166093
