age,qx,ln_qx,ln_qx_fitted,qx_fitted
30,0.00065,-7.338538195074591,-7.589961951448809,0.0005055002871518531
40,0.0011,-6.812445099177812,-6.6251570622409055,0.0013265720602833211
50,0.0028,-5.8781358618009785,-5.660352173033002,0.003481290665608842
60,0.009,-4.710530701645918,-4.695547283825098,0.009135866087716991
65,0.015,-4.199705077879927,-4.213144839221146,0.014799752235139569
70,0.028,-3.575550768806933,-3.7307423946171943,0.023975030294719837
