age,qx,ln_qx,ln_qx_fitted,qx_fitted
30,0.0009099999999999999,-7.002065958453379,-7.275196472061878,0.0006925040496416659
40,0.00143,-6.550080834710321,-6.348884038671516,0.001748697526593507
50,0.0035,-5.654992310486769,-5.422571605281155,0.004415776400291911
60,0.010799999999999999,-4.528209144851963,-4.496259171890793,0.011150631210281139
65,0.018,-4.017383521085972,-4.033102955195613,0.017719262484310244
70,0.0336,-3.3932292120129786,-3.569946738500432,0.02815735334322552
